OPS-code;Text;Weitere_Texte_OPS;wann_gueltig;Mapping_moeglich;Kombiprodukt;Substanzangabe_aus_OPS-Code;Bemerkung_LOESCHEN;1Substanz_allg_engl_INN_oder_sonst;2Substanz_allg_engl_INN_oder_sonst;2Substanz_allg_UNII-number;2Substanz_allg_ASK-Nr;2Substanz_allg_CAS-Nummer;3Substanz_allg_engl_INN_oder_sonst;3Substanz_allg_UNII-number;3Substanz_allg_ASK-Nr;3Substanz_allg_CAS-Nummer;4Substanz_allg_engl_INN_oder_sonst;4Substanz_allg_UNII-number;4Substanz_allg_ASK-Nr;4Substanz_allg_CAS-Nummer;Substanzname_ATC;ATC-Code;ATC-Code2;ATC-Code3;ATC-Code4;ATC-Code5;Einheit_Wert_min;Einheit_Wert_max;UCUM-Code;UCUM-Description;Kommentar SZ;Routes and Methods of Administration - Concept Code;Routes and Methods of Administration - Term;Administration Method - ID;Administration Method - Name;Code Intended Site (EDQM);Intended Site (EDQM);2_Routes and Methods of Administration - Concept Code;2_Routes and Methods of Administration - Term;2_Administration Method - ID;2_Administration Method - Name;2_Code Intended Site (EDQM);2_Intended Site (EDQM);EU-Zulassung? ;Strenght;Pharmaceutical Form;Packaging;Handelsname-Beispiel (Invented name)
6-001.0a;Parenterale Applikation von 330 mg bis unter 390 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;330;390;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.0b;Parenterale Applikation von 390 mg bis unter 450 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;390;450;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.0c;Parenterale Applikation von 450 mg bis unter 510 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;450;510;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.0d;Parenterale Applikation von 510 mg bis unter 570 mg Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;510;570;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.0e;Parenterale Applikation von 570 mg oder mehr Alemtuzumab;;gleich 2008 bis 2020;;;Alemtuzumab;eindeutig;alemtuzumab;;;;;;;;;;;;;Alemtuzumab;L01XC04;L04AA34;;;;570;;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;ja;;Concentrate for solution for infusion;vial (glass);Lemtrada
6-001.10;Parenterale Applikation von 2,5 g bis unter 4,0 g Gemcitabin;;gleich 2008 bis 2010;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;2,5;4;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.11;Parenterale Applikation von 4,0 g bis unter 5,5 g Gemcitabin;;gleich 2008 bis 2010;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;4;5,5;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.12;Parenterale Applikation von 5,5 g bis unter 7,0 g Gemcitabin;;gleich 2008 bis 2010;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;5,5;7;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.13;Parenterale Applikation von 7,0 g bis unter 8,5 g Gemcitabin;;gleich 2008 bis 2010;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;7;8,5;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.14;Parenterale Applikation von 8,5 g bis unter 10,0 g Gemcitabin;;gleich 2008 bis 2011;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;8,5;10;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.15;Parenterale Applikation von 10,0 g bis unter 11,5 g Gemcitabin;;gleich 2008 bis 2011;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;10;11,5;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.16;Parenterale Applikation von 11,5 g bis unter 13,0 g Gemcitabin;;gleich 2008 bis 2011;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;11,5;13;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.17;Parenterale Applikation von 13,0 g bis unter 14,5 g Gemcitabin;;gleich 2008 bis 2012;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;13;14,5;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.18;Parenterale Applikation von 14,5 g und mehr Gemcitabin;;gleich 2008 bis 2012;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;14,5;;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.19;Parenterale Applikation von 19,0 g bis unter 22,0 g Gemcitabin;;gleich 2013 bis 2020;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;19;22;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.1a;Parenterale Applikation von 22,0 g bis unter 25,0 g Gemcitabin;;gleich 2013 bis 2020;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;22;25;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.1b;Parenterale Applikation von 25,0 g bis unter 28,0 g Gemcitabin;;gleich 2013 bis 2020;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;25;28;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.1c;Parenterale Applikation von 28,0 g bis unter 31,0 g Gemcitabin;;gleich 2013 bis 2020;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;28;31;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.1d;Parenterale Applikation von 31,0 g bis unter 34,0 g Gemcitabin;;gleich 2013 bis 2020;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;31;34;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.1e;Parenterale Applikation von 34,0 g oder mehr Gemcitabin;;gleich 2013 bis 2020;;;Gemcitabin;eindeutig;gemcitabine;;;;;;;;;;;;;Gemcitabin;L01BC05;;;;;34;;g;gram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national;;powder for solution for infusion;vial;Gemzar
6-001.20;Parenterale Applikation von 5 mg bis unter 10 mg Gemtuzumab Ozogamicin;;gleich 2008 bis 2011;;;Gemtuzumab Ozogamicin;das ist eine Substanz (Protein?) obwohl es wie ein Kombi aussieht;gemtuzumab ozogamicin;;;;;;;;;;;;;Gemtuzumab ozogamicin;L01XC05;;;;;5;10;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.21;Parenterale Applikation von 10 mg bis unter 15 mg Gemtuzumab Ozogamicin;;gleich 2008 bis 2011;;;Gemtuzumab Ozogamicin;das ist eine Substanz (Protein?) obwohl es wie ein Kombi aussieht;gemtuzumab ozogamicin;;;;;;;;;;;;;Gemtuzumab ozogamicin;L01XC05;;;;;10;15;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.22;Parenterale Applikation von 15 mg bis unter 20 mg Gemtuzumab Ozogamicin;;gleich 2008 bis 2011;;;Gemtuzumab Ozogamicin;das ist eine Substanz (Protein?) obwohl es wie ein Kombi aussieht;gemtuzumab ozogamicin;;;;;;;;;;;;;Gemtuzumab ozogamicin;L01XC05;;;;;15;20;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.23;Parenterale Applikation von 20 mg bis unter 25 mg Gemtuzumab Ozogamicin;;gleich 2008 bis 2011;;;Gemtuzumab Ozogamicin;das ist eine Substanz (Protein?) obwohl es wie ein Kombi aussieht;gemtuzumab ozogamicin;;;;;;;;;;;;;Gemtuzumab ozogamicin;L01XC05;;;;;20;25;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.24;Parenterale Applikation von 25 mg bis unter 30 mg Gemtuzumab Ozogamicin;;gleich 2008 bis 2011;;;Gemtuzumab Ozogamicin;das ist eine Substanz (Protein?) obwohl es wie ein Kombi aussieht;gemtuzumab ozogamicin;;;;;;;;;;;;;Gemtuzumab ozogamicin;L01XC05;;;;;25;30;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.25;Parenterale Applikation von 30 mg bis unter 35 mg Gemtuzumab Ozogamicin;;gleich 2008 bis 2011;;;Gemtuzumab Ozogamicin;das ist eine Substanz (Protein?) obwohl es wie ein Kombi aussieht;gemtuzumab ozogamicin;;;;;;;;;;;;;Gemtuzumab ozogamicin;L01XC05;;;;;30;35;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.26;Parenterale Applikation von 35 mg bis unter 40 mg Gemtuzumab Ozogamicin;;gleich 2008 bis 2011;;;Gemtuzumab Ozogamicin;das ist eine Substanz (Protein?) obwohl es wie ein Kombi aussieht;gemtuzumab ozogamicin;;;;;;;;;;;;;Gemtuzumab ozogamicin;L01XC05;;;;;35;40;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.27;Parenterale Applikation von 40 mg bis unter 45 mg Gemtuzumab Ozogamicin;;gleich 2008 bis 2011;;;Gemtuzumab Ozogamicin;das ist eine Substanz (Protein?) obwohl es wie ein Kombi aussieht;gemtuzumab ozogamicin;;;;;;;;;;;;;Gemtuzumab ozogamicin;L01XC05;;;;;40;45;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.28;Parenterale Applikation von 45 mg bis unter 50 mg Gemtuzumab Ozogamicin;;gleich 2008 bis 2011;;;Gemtuzumab Ozogamicin;das ist eine Substanz (Protein?) obwohl es wie ein Kombi aussieht;gemtuzumab ozogamicin;;;;;;;;;;;;;Gemtuzumab ozogamicin;L01XC05;;;;;45;50;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.29;Parenterale Applikation von 50 mg und mehr Gemtuzumab Ozogamicin;;gleich 2008 bis 2011;;;Gemtuzumab Ozogamicin;das ist eine Substanz (Protein?) obwohl es wie ein Kombi aussieht;gemtuzumab ozogamicin;;;;;;;;;;;;;Gemtuzumab ozogamicin;L01XC05;;;;;50;;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.30;Parenterale Applikation von 200 mg bis unter 300 mg Irinotecan;;gleich 2008 bis 2010;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;200;300;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.31;Parenterale Applikation von 300 mg bis unter 400 mg Irinotecan;;gleich 2008 bis 2010;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;300;400;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.32;Parenterale Applikation von 400 mg bis unter 500 mg Irinotecan;;gleich 2008 bis 2011;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;400;500;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.33;Parenterale Applikation von 500 mg bis unter 600 mg Irinotecan;;gleich 2008 bis 2011;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;500;600;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.34;Parenterale Applikation von 600 mg bis unter 700 mg Irinotecan;;gleich 2008 bis 2011;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;600;700;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.35;Parenterale Applikation von 700 mg bis unter 800 mg Irinotecan;;gleich 2008 bis 2011;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;700;800;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.36;Parenterale Applikation von 800 mg bis unter 900 mg Irinotecan;;gleich 2008 bis 2011;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;800;900;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.37;Parenterale Applikation von 900 mg bis unter 1.000 mg Irinotecan;;gleich 2008 bis 2011;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;900;1000;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.38;Parenterale Applikation von 1.000 mg bis unter 1.100 mg Irinotecan;;gleich 2008 bis 2012;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;1000;1100;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.39;Parenterale Applikation von 1.100 mg bis unter 1.200 mg Irinotecan;;gleich 2008 bis 2012;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;1100;1200;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.3a;Parenterale Applikation von 1.200 mg bis unter 1.300 mg Irinotecan;;gleich 2008 bis 2012;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;1200;1300;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.3b;Parenterale Applikation von 1.300 mg bis unter 1.400 mg Irinotecan;;gleich 2008 bis 2012;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;1300;1400;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.3c;Parenterale Applikation von 1.400 mg und mehr Irinotecan;;gleich 2008 bis 2012;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;1400;;mg;milligram;;;;;;;;;;;;;;;;;;
6-001.3d;Parenterale Applikation von 2.000 mg bis unter 2.200 mg Irinotecan;;gleich 2013 bis 2020;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;2;2,2;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;national in D;;Konzentrat zur Herstellung einer Infusionslösung;;Campto
6-001.3e;Parenterale Applikation von 2.200 mg bis unter 2.400 mg Irinotecan;;gleich 2013 bis 2020;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;2,2;2,4;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;;;;;
6-001.3f;Parenterale Applikation von 2.400 mg bis unter 2.600 mg Irinotecan;;gleich 2013 bis 2020;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;2,4;2,6;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;;;;;
6-001.3g;Parenterale Applikation von 2.600 mg bis unter 2.800 mg Irinotecan;;gleich 2013 bis 2020;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;2,6;2,8;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;;;;;
6-001.3h;Parenterale Applikation von 2.800 mg bis unter 3.000 mg Irinotecan;;gleich 2013 bis 2020;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;2,8;3;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;;;;;
6-001.3j;Parenterale Applikation von 3.000 mg oder mehr Irinotecan;;gleich 2013 bis 2020;;;Irinotecan;eindeutig;irinotecan;;;;;;;;;;;;;Irinotecan;L01XX19;;;;;3;;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;;;;;;;;;;;
6-001.40;Parenterale Applikation von 2 mg bis unter 3 mg Sargramostim;;gleich 2008 bis 2020;;;Sargramostim;eindeutig;sargramostim;;;;;;;;;;;;;Sargramostim;L03AA09;;;;;2;3;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;national (nicht in EU? Info für US-Zulassung);;injectable solution oder Lyophilized;vial;Leukine
6-001.41;Parenterale Applikation von 3 mg bis unter 4 mg Sargramostim;;gleich 2008 bis 2020;;;Sargramostim;eindeutig;sargramostim;;;;;;;;;;;;;Sargramostim;L03AA09;;;;;3;4;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;national (nicht in EU? US);;injectable solution oder Lyophilized;vial;Leukine
6-001.42;Parenterale Applikation von 4 mg bis unter 5 mg Sargramostim;;gleich 2008 bis 2020;;;Sargramostim;eindeutig;sargramostim;;;;;;;;;;;;;Sargramostim;L03AA09;;;;;4;5;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;national (nicht in EU? US);;injectable solution oder Lyophilized;vial;Leukine
6-001.43;Parenterale Applikation von 5 mg bis unter 6 mg Sargramostim;;gleich 2008 bis 2020;;;Sargramostim;eindeutig;sargramostim;;;;;;;;;;;;;Sargramostim;L03AA09;;;;;5;6;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;national (nicht in EU? US);;injectable solution oder Lyophilized;vial;Leukine
6-001.44;Parenterale Applikation von 6 mg bis unter 7 mg Sargramostim;;gleich 2008 bis 2020;;;Sargramostim;eindeutig;sargramostim;;;;;;;;;;;;;Sargramostim;L03AA09;;;;;6;7;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;national (nicht in EU? US);;injectable solution oder Lyophilized;vial;Leukine
6-001.45;Parenterale Applikation von 7 mg bis unter 8 mg Sargramostim;;gleich 2008 bis 2020;;;Sargramostim;eindeutig;sargramostim;;;;;;;;;;;;;Sargramostim;L03AA09;;;;;7;8;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;national (nicht in EU? US);;injectable solution oder Lyophilized;vial;Leukine
6-001.46;Parenterale Applikation von 8 mg bis unter 9 mg Sargramostim;;gleich 2008 bis 2020;;;Sargramostim;eindeutig;sargramostim;;;;;;;;;;;;;Sargramostim;L03AA09;;;;;8;9;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;national (nicht in EU? US);;injectable solution oder Lyophilized;vial;Leukine
6-001.47;Parenterale Applikation von 9 mg bis unter 10 mg Sargramostim;;gleich 2008 bis 2020;;;Sargramostim;eindeutig;sargramostim;;;;;;;;;;;;;Sargramostim;L03AA09;;;;;9;10;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;national (nicht in EU? US);;injectable solution oder Lyophilized;vial;Leukine
6-001.48;Parenterale Applikation von 10 mg bis unter 11 mg Sargramostim;;gleich 2008 bis 2020;;;Sargramostim;eindeutig;sargramostim;;;;;;;;;;;;;Sargramostim;L03AA09;;;;;10;11;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;national (nicht in EU? US);;injectable solution oder Lyophilized;vial;Leukine
6-001.49;Parenterale Applikation von 11 mg bis unter 12 mg Sargramostim;;gleich 2008 bis 2020;;;Sargramostim;eindeutig;sargramostim;;;;;;;;;;;;;Sargramostim;L03AA09;;;;;11;12;mg;milligram;;20045000;Intravenous use;AME-0009;Infusion;ISI - 0033;Parenteral;20066000;Subcutaneous use;AME-0011;Injection;ISI - 0033;Parenteral;national (nicht in EU? US);;injectable solution oder Lyophilized;vial;Leukine
